PO_NUMBER,INVOICE_ID,INVOICE_NUM,SOURCE,INV_LINE_NUMBER,ACCOUNT_CODE,COMPANY_CODE,MIC,INVOICE_DATE,INVOICE_AMOUNT,TRAN_AMOUNT,EXTC,STATE,VENDOR_NAME,INVOICE_FR,FINAL_DESCRIPTION,PROJ_NUM,TAX_AMOUNT,TAX_TYPE,ACCOUNTING_DATE,NORAD_FLAG,DRIVERID
32841281,10000093,INV-145626,null,1,2003.357C,5N00,COEOTHER,2025-04-24,2457.5600000000,2458,null,NC,CADENCE INDUSTRIES INC>1A,1.0000093E71,Tele PUC-Digital Circuit Equip - Other Digital Circuit Equip Regular,null,null,null,2025-04-30,N,null
32714908,10000377,INV27771980,null,4,2003.845C,5M00,NONE,2025-04-24,487.7000000000,175,null,MS,KGP TELECOMMUNICATIONS>9I,1.0000377E74,Tele PUC-Buried Cable-Nonmetallic,null,null,null,2025-04-30,N,null
32726144,10000395,INV27773297,null,3,2003.822C,TM00,NONE,2025-04-24,2144.7900000000,175,null,MO,KGP TELECOMMUNICATIONS>9I,1.0000395E73,Tele PUC-Aerial Cable - Nonmetallic,null,null,null,2025-04-30,N,null
32834655,10000495,810314900,null,1,1220.121,TM00,NONE,2025-04-23,369.2000000000,369,null,MO,POWER AND TEL,1.0000495E71,Materials-Plant-Exempt,null,null,null,2025-04-30,N,null
32841490,10000707,1279508,null,1,2003.357C,5N00,COEOTHER,2025-04-24,97.7600000000,98,null,NC,CHEROKEE NATION INDUSTRIES INC>8B,1.0000707E71,Tele PUC-Digital Circuit Equip - Other Digital Circuit Equip Regular,null,null,null,2025-04-30,N,null
32836556,10000798,16556864,null,1,2003.845C,5M00,2FB000025N,2025-04-24,163.5400000000,164,null,MS,KMM TELECOMMUNICATIONS         EDI>9B,1.0000798E71,Tele PUC-Buried Cable-Nonmetallic,null,null,null,2025-04-30,N,null
32699710,10000824,INV27775605,null,1,2003.845C,TA00,2FB000025N,2025-04-24,88.0300000000,88,null,AR,KGP TELECOMMUNICATIONS>9I,1.0000824E71,Tele PUC-Buried Cable-Nonmetallic,null,null,null,2025-04-30,N,null
32834885,10000959,16556264,null,1,2003.845C,TT00,NONE,2025-04-23,346.3700000000,346,null,TX,KMM TELECOMMUNICATIONS>2,1.0000959E71,Tele PUC-Buried Cable-Nonmetallic,null,null,null,2025-04-30,N,null
32646310,10001219,INV27774437,null,1,2003.845C,TT00,2FB000050N,2025-04-24,470.3500000000,470,null,TX,KGP TELECOMMUNICATIONS>9I,1.0001219E71,Tele PUC-Buried Cable-Nonmetallic,null,null,null,2025-04-30,N,null
32715369,10001274,INV27772526,null,2,1220.121,TT00,NONE,2025-04-24,337.4800000000,17,null,TX,KGP TELECOMMUNICATIONS>9I,1.0001274E72,Materials-Plant-Exempt,null,null,null,2025-04-30,N,null
